19,13
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , text_java   , is          , you         , .           , .           , .           , text_flag   , is          , win         , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , java        , .           , .           , .           , git         , .           , .           , .           , flag        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , git         , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , wire        , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , text_git    , is          , push        , .           , .           , .           , text_wire   , is          , stop        , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
.           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           , .           
